model,zero,median,mean,bfill,ffill,knn,mice,DLine,idx
31.11929,4123.013,86.12039,78.78603,7.345039,10.112075,32.670097,32.604954,656.5223,217
5.1101494,2042.4076,64.04879,55.88325,15.23801,17.72758,24.998163,19.510984,230.47792,216
1.8483866,1135.9053,22.053291,17.850998,2.5081153,3.0324686,16.600922,21.696484,165.59686,218
26.472378,3720.484,64.3926,58.92083,18.39567,29.201517,31.276926,48.422646,299.3232,219
22.016674,3346.8,53.664337,53.31589,29.365294,39.362595,44.50442,21.296667,560.36206,223
9.504235,4245.371,104.67553,79.757286,36.24752,38.08672,61.6973,55.068275,396.1459,221
4.066781,3053.5464,10.353028,10.682911,3.8900664,4.462839,7.4759226,5.1505637,345.21857,225
8.607349,4816.318,33.413063,30.669596,9.336974,48.13939,19.815525,18.193714,380.77542,220
4.396307,3418.4985,53.186882,45.919456,4.9921002,4.2697096,5.9020176,12.102512,208.61967,222
22.469017,3072.5789,99.76079,88.561745,19.969048,38.939713,28.418638,46.9978,278.94608,224
3.7833836,4374.304,36.9075,34.93544,26.535906,26.664034,25.363258,27.841173,250.31407,226
6.5504065,2951.6953,32.12354,22.604399,5.1000814,13.415049,19.629433,10.500685,448.71344,228
15.53732,2310.6199,44.47978,39.790836,34.206654,27.970186,29.061134,19.225567,235.4661,229
2.3452845,1528.3301,17.607117,13.687128,4.171525,7.746733,10.506247,7.6328816,101.300415,227
11.084288,1823.5535,60.209286,51.346954,25.518457,34.933716,28.504469,76.33376,338.4911,232
21.496307,3987.7283,20.447596,19.935455,14.588168,52.931896,17.082933,79.560425,234.89029,234
11.68528,3904.188,71.30545,63.522224,10.726301,12.671216,33.603123,42.878696,360.48676,233
10.945419,2756.0986,33.002045,32.867588,11.9221525,15.3712,22.081095,15.427897,221.12172,230
17.210098,1630.6578,119.76616,102.21261,17.151289,17.442554,38.73922,43.328415,194.9854,235
8.71753,4425.137,50.994743,46.365738,19.590742,71.99428,39.11524,38.06195,702.4312,231
29.325657,4018.9292,109.9578,97.571175,14.557763,15.48915,21.41198,15.202359,310.91702,237
0.9622929,1168.1112,7.207719,5.966435,6.8650713,3.4837797,3.8919218,3.9504921,63.923897,236
1.3274217,1039.1368,5.184277,5.1234894,2.327209,3.840861,4.4817533,2.1121209,76.930084,239
13.931839,3634.8083,79.16894,74.487305,45.45603,43.61785,61.13875,55.42968,346.50256,238
2.7861283,894.1216,17.582647,14.203998,3.9504163,7.269649,8.933909,4.8795304,94.819565,240
1.9135431,907.66943,10.476133,9.518272,4.0183873,5.7172937,8.055741,6.030766,97.23054,245
1.0469575,1031.5621,11.613504,10.523056,2.505339,2.4927707,4.275707,3.8593655,112.84355,242
34.71298,2309.1162,106.75993,103.16721,15.090656,19.801825,72.337166,71.30672,174.07285,244
4.642181,3389.668,29.905209,28.66061,13.460872,12.412108,20.100157,24.674397,317.45557,241
10.037926,4008.9045,41.237625,47.406635,5.499712,6.625228,12.141876,12.444307,269.64023,243
17.741898,3525.8196,36.1655,34.895657,35.68078,57.74493,31.624088,31.280947,202.03833,248
1.4149256,985.22144,8.205207,8.26447,6.0504837,5.1609235,7.3067737,4.1022663,87.28733,249
27.184986,4180.3496,153.2648,132.48161,27.462276,25.010292,58.140392,38.065884,254.23987,247
20.139772,4314.7495,110.64081,120.28624,12.259933,22.956884,57.313587,27.608656,227.56952,246
5.6967564,3204.0916,36.969284,35.28073,15.045173,15.440046,69.81029,22.8088,1066.3334,250
248.8345,3343.8105,277.8117,213.02855,9.205559,16.498472,145.56947,139.65262,755.4902,254
18.902195,1545.6233,48.556072,47.794502,28.955446,27.646873,51.74428,30.16829,118.17971,255
3.7721932,3225.1812,19.18232,18.371931,9.048105,9.05576,8.640695,6.2887163,265.43182,253
7.053589,1558.3143,46.295918,41.61941,9.576072,8.426093,15.105187,9.017811,117.78804,252
14.294665,4080.9194,37.009056,33.6946,9.531403,14.168713,17.450342,10.768282,340.76883,251
2.9385765,2845.9841,9.7698765,8.774005,2.2556467,3.5645297,9.447609,3.9383354,199.69553,258
14.001367,2507.0142,85.95063,54.22023,54.47767,73.55137,48.126194,115.91396,373.99625,259
8.778373,1508.5575,104.004845,67.39504,29.779081,25.141764,45.167618,18.200241,150.33409,256
20.240347,2300.3726,59.85003,46.400883,9.777592,44.689972,22.0328,254.61266,359.29752,257
22.148685,4429.965,105.84131,88.87737,17.13098,23.629406,53.892776,31.179092,426.43454,264
3.9819305,1541.5051,82.17518,74.961174,8.845817,8.911259,55.05806,38.17604,230.95512,263
2.2702768,1051.4229,19.158415,18.507452,10.137076,12.063306,9.467199,8.504618,66.66082,262
19.618597,2798.341,94.12032,60.833237,19.126242,48.258984,82.48729,19.291151,348.18076,265
9.20306,3327.4023,16.54556,19.970352,13.082642,11.031032,12.693757,9.92969,309.85696,260
23.595877,5863.685,155.36697,152.72044,66.480644,66.366936,108.03381,139.31108,410.65845,261
9.936258,3426.1118,9.436088,9.97564,4.600818,35.003525,4.972385,5.070601,157.41101,267
31.542185,2721.6016,94.868,91.4316,41.130283,84.988464,68.91077,52.07034,347.52866,268
12.1307535,4932.0337,181.43808,126.90991,21.104897,54.753334,40.664913,53.495144,455.1697,266
11.749721,3384.8452,24.12731,23.323982,16.390663,45.161,18.76972,12.178837,341.44205,269
3.3165581,2388.8672,18.263622,16.232042,13.517942,13.810775,12.643333,13.763366,195.00262,273
19.156815,3785.4817,40.77865,37.35413,10.286141,22.595793,26.524956,21.230085,224.71591,275
15.648471,1754.0762,101.36044,85.5029,20.40695,29.902859,38.63746,64.55999,277.01508,274
4.683048,4148.2505,14.2420435,13.421361,2.7438004,2.4010262,4.2675233,2.7449548,495.77805,272
7.943876,1673.5096,36.21208,34.688446,13.21401,14.19646,24.804142,15.676731,163.708,270
4.213541,980.14624,13.630652,13.335522,4.705757,4.7627883,7.372498,3.083007,63.222965,271
24.882631,2060.8877,72.96034,64.32936,27.93209,29.678999,32.257217,35.176785,230.09373,276
15.873481,1655.0627,23.258705,24.156223,5.4830894,6.5909905,17.381054,9.907372,197.91592,277
